x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
-24,-36,1.5,8.254943181818181e-05,2.5155545454545452e-05,5.229928977272726e-05,8.353642045454544e-05,7.59984034090909e-05,8.64821818181818e-05,9.905113636363636e-05,7.88330909090909e-05
-20,-36,1.5,8.015548295454544e-05,2.327006818181818e-05,5.072943181818181e-05,8.214866477272728e-05,7.451110227272725e-05,8.447800000000001e-05,9.636822443181818e-05,7.655436363636364e-05
-16,-36,1.5,7.825244318181818e-05,2.147431818181818e-05,4.887610795454546e-05,8.0135625e-05,7.30452784090909e-05,8.295981818181817e-05,9.346649147727273e-05,7.4798e-05
-12,-36,1.5,7.601596874999999e-05,1.9516409090909088e-05,4.7438749999999994e-05,7.817153409090908e-05,7.165474431818183e-05,8.152363636363637e-05,9.161953124999998e-05,7.230054545454545e-05
-8,-36,1.5,7.381165909090909e-05,1.7976181818181816e-05,4.6071789772727265e-05,7.689650568181817e-05,7.033568181818181e-05,8.020963636363636e-05,8.956815340909091e-05,7.040709090909089e-05
-4,-36,1.5,7.142609659090908e-05,1.6561999999999998e-05,4.437318181818182e-05,7.52230965909091e-05,6.910097727272727e-05,7.907672727272727e-05,8.773301136363636e-05,6.85709090909091e-05
0,-36,1.5,6.886324431818181e-05,1.534893181818182e-05,4.340678977272727e-05,7.465048295454544e-05,6.798463636363637e-05,7.772345454545454e-05,8.618058238636363e-05,6.68589090909091e-05
4,-36,1.5,6.623422159090908e-05,1.4290749999999999e-05,4.223832386363636e-05,7.296818181818182e-05,6.698319886363634e-05,7.708854545454545e-05,8.480524147727272e-05,6.501381818181818e-05
8,-36,1.5,6.31101221590909e-05,1.3724295454545452e-05,4.089769886363636e-05,7.168551136363636e-05,6.61033465909091e-05,7.592236363636362e-05,8.385258522727273e-05,6.344163636363636e-05
12,-36,1.5,6.022881818181816e-05,1.306890909090909e-05,4.033605113636363e-05,7.104335227272727e-05,6.57234375e-05,7.486363636363636e-05,8.283603693181819e-05,6.217854545454545e-05
16,-36,1.5,5.8542085227272725e-05,1.1938068181818181e-05,3.9053920454545456e-05,7.011673295454545e-05,6.478977272727272e-05,7.418236363636364e-05,8.093367897727271e-05,6.067127272727272e-05
20,-36,1.5,5.762117045454543e-05,1.0306045454545453e-05,3.832198863636363e-05,6.939812499999999e-05,6.398688068181817e-05,7.384581818181819e-05,7.980633522727273e-05,5.92609090909091e-05
24,-36,1.5,5.671654261363637e-05,1.0540090909090906e-05,3.757059659090909e-05,6.855599431818181e-05,6.328898863636362e-05,7.381418181818182e-05,7.924681818181816e-05,5.8506363636363634e-05
36,-36,1.5,4.887496022727271e-05,5.275293181818181e-06,3.5642528409090906e-05,6.414136363636364e-05,5.336187102272728e-05,7.080072727272727e-05,6.785298295454545e-05,5.990363636363636e-05
40,-36,1.5,4.638173011363636e-05,4.51225909090909e-06,3.47837784090909e-05,6.236963068181817e-05,5.3648258522727265e-05,7.016472727272727e-05,6.585349431818181e-05,5.9106363636363635e-05
